Cam'ron,I Hate My Job
Juelz Santana,Mic Check
Mad Villain,Meat Grinder
Masta Ace,No regrets
Mad Villain,Strange Ways
Lil Jon,What U Gon' Do
People Under The Stairs,Acid Raindrops
Brother Ali,Uncle Sam
Dem Franchize Boys,Lean With It Rock With It
Snoop Dogg,That's That Shit
Big Tymers,Still Fly
Joell Ortiz,Hip-Hop
Terror Squad,Lean Back
Dizzee Rascal,Fix Up Look Sharp
Common,It's Your World
Canibus,Poet Laureate II
Outkast,A Life In The Day Of Benjamin' Andre
Raekwon,10 Bricks
Missy Elliot,Get Your Freak On
Lil Wayne,Fireman
Game,Westside Story
Nelly,Hot In Herre
Mos Def,Quiet Dog Bite Hard
Ice Cube,Why We Thugs
Nelly,Country Grammar
Wale,The Kramer
Mad Villain,Accordian
T.I.,Rubberband Man
Nelly,Ride Wit Me
Jedi Mind Tricks,Uncommon Valor
Nas,Purple
The Roots,Rising Up
Jay Z,What More Can I Say
Jay Electronica,Eternal Sunshine
Young Jeezy,Soul Survivor
Three 6 Mafia,Stay Fly
Twista,Overnight Celebrity
Lil Wayne,Lollipop
Nas,Black Republican
Ludacris,Move Bitch
Jay Z,D.O.A
Kanye West,Big Brother
Lupe Fiasco,Paris Tokyo
T.I.,What You Know
Rick Ross,Hustlin
MIA,Paper Planes
Eminem,White America
Eminem,Kim
Jay Z,Big Pimpin
Jay Z,Dirt off your Shoulder
Odd Future,Odd Toddlers
Lil Wayne,Mr. Carter
Chamillionaire,Ridin
Child Rebel Soldiers,Us Placers
Jay Z,Takeover
Common,The People
OutKast,So Fresh So Clean
Common,The Light
Rakim & Nas & Kanye West & KRS-One,Classic
T.I.,Swagger Like Us
Mad Villain,All Caps
UGK,International Players Anthem
Snoop Dogg,Drop It Like It's Hot
Nas,Made You Look
Lil Wayne,A Milli
Kanye West,Gone
Lupe Fiasco,Super Star
J. Cole,Lights Please
OutKast,B.O.B.
Jay Z,Izzo (H.O.V.A.)
OutKast,Hey Ya
Eminem,Cleanin Out My Closet
Eminem,Like Toy Soldiers
Kid Cudi,Day 'n' Nite
Kanye West,Gold Digger
Jay Z,Empire State Of Mind
Lupe Fiasco,Hip Hop Saved My Life
Eminem,Till I Collapse
50 Cent,In Da Club
Jay Electronica,Exhibit C
Lupe Fiasco,Day Dreamin'
Drake,Forever
Game,Hate It Or Love It
Lupe Fiasco,Kick Push
Eminem,The Way I Am
Talib Kweli,Get By
Kanye West,Diamonds From Sierra Leone
Kanye West,Stronger
Nas,Ether
Dr. Dre,Forget About Dre
Kid Cudi,Pursuit Of Happiness
OutKast,Ms. Jackson
Tyler The Creator,Bastard
Eminem,Lose Yourself
Nas,One Mic
Kanye West,Jesus Walks
